id,text,language,user_role,topic,sentiment,answer,route_to,search_document
1,لا أستطيع تسجيل الدخول إلى مودل,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,language: ar. role: student. topic: login_access. question: لا أستطيع تسجيل الدخول إلى مودل. answer: استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.
2,كيف أعيد تعيين كلمة مرور حسابي؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,language: ar. role: student. topic: login_access. question: كيف أعيد تعيين كلمة مرور حسابي؟. answer: اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.
3,لا يظهر لي مقرر معالجة اللغة الطبيعية,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,language: ar. role: student. topic: course_enrollment. question: لا يظهر لي مقرر معالجة اللغة الطبيعية. answer: تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.
4,كيف أضيف طالبًا إلى مقرري؟,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,language: ar. role: instructor. topic: course_enrollment. question: كيف أضيف طالبًا إلى مقرري؟. answer: افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.
5,لا يظهر لي زر تسليم الواجب,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,language: ar. role: student. topic: assignment. question: لا يظهر لي زر تسليم الواجب. answer: تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.
6,كيف أنشئ واجبًا جديدًا للطلاب؟,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,language: ar. role: instructor. topic: assignment. question: كيف أنشئ واجبًا جديدًا للطلاب؟. answer: فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.
7,تم إغلاق الاختبار قبل إكمال المحاولة,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,language: ar. role: student. topic: quiz_exam. question: تم إغلاق الاختبار قبل إكمال المحاولة. answer: تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.
8,كيف أضيف أسئلة عشوائية من بنك الأسئلة؟,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,language: ar. role: instructor. topic: quiz_exam. question: كيف أضيف أسئلة عشوائية من بنك الأسئلة؟. answer: افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.
9,أين أستطيع مشاهدة درجاتي؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,language: ar. role: student. topic: grades. question: أين أستطيع مشاهدة درجاتي؟. answer: افتح المقرر ثم اختر الدرجات من قائمة المقرر.
10,درجات الاختبار غير ظاهرة للطلاب,ar,instructor,grades,negative,راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.,eLearning Support,language: ar. role: instructor. topic: grades. question: درجات الاختبار غير ظاهرة للطلاب. answer: راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.
11,I cannot download the lecture file,en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,language: en. role: student. topic: course_content. question: I cannot download the lecture file. answer: Refresh the course page and verify that the resource is available.
12,How can I upload lecture slides?,en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,language: en. role: instructor. topic: course_content. question: How can I upload lecture slides?. answer: Turn editing on and add a File resource to the course section.
13,My attendance status is incorrect,en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,language: en. role: student. topic: attendance. question: My attendance status is incorrect. answer: Contact the course instructor and provide the attendance date.
14,How do I record student attendance?,en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,"language: en. role: instructor. topic: attendance. question: How do I record student attendance?. answer: Open the Attendance activity, create a session, and record attendance."
15,I am not receiving course notifications,en,student,notifications,negative,Check your Moodle notification preferences and registered email.,IT Support,language: en. role: student. topic: notifications. question: I am not receiving course notifications. answer: Check your Moodle notification preferences and registered email.
16,How can I send an announcement to all students?,en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,language: en. role: instructor. topic: notifications. question: How can I send an announcement to all students?. answer: Post the message in the course Announcements forum.
17,The virtual classroom link does not open,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,"language: en. role: student. topic: virtual_class. question: The virtual classroom link does not open. answer: Check the session time and allow pop-ups, then try the link again."
18,How do I add a virtual class to my course?,en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,language: en. role: instructor. topic: virtual_class. question: How do I add a virtual class to my course?. answer: Turn editing on and add the available virtual classroom activity.
19,The Moodle page keeps loading without opening,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,language: en. role: student. topic: technical_problem. question: The Moodle page keeps loading without opening. answer: Clear the browser cache and try another supported browser.
20,Students receive an error when opening the activity,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,language: en. role: instructor. topic: technical_problem. question: Students receive an error when opening the activity. answer: Review the activity restrictions and contact e-learning support.
