id,source_id,text,language,user_role,topic,sentiment,answer,route_to,preprocessing_version
27,2,احتاج مساعدة، كيف اعيد تعيين كلمة مرور حسابي؟ ما الحل؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
363,19,The Moodle page keeps loading without opening,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
132,7,لو سمحت، تم اغلاق الاختبار قبل اكمال المحاولة في نظام مودل,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
399,20,I need help. Students receive an error when opening the activity in Moodle.,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
141,8,السلام عليكم، كيف اضيف اسئلة عشوائية من بنك الاسئلة؟ في نظام مودل,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
298,15,I am not receiving course notifications,en,student,notifications,negative,Check your Moodle notification preferences and registered email.,IT Support,1.0.0
36,2,ممكن توضيح، كيف اعيد تعيين كلمة مرور حسابي؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
367,19,"Hello, The Moodle page keeps loading without opening Could you help me?",en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
254,13,I need help. My attendance status is incorrect Could you help me?,en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,1.0.0
139,7,لو سمحت، تم اغلاق الاختبار قبل اكمال المحاولة ما الحل؟,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
334,17,The virtual classroom link does not open Could you help me?,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
272,14,Could you explain? How do I record student attendance? Thank you.,en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
310,16,"Please help, How can I send an announcement to all students? Thank you.",en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,1.0.0
69,4,السلام عليكم، كيف اضيف طالبا الي مقرري؟ ممكن تساعدوني؟,ar,instructor,course_enrollment,neutral,افتح المشاركين ثم اختر تسجيل المستخدمين إذا كانت لديك الصلاحية.,eLearning Support,1.0.0
378,19,Could you explain? The Moodle page keeps loading without opening,en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
125,7,تم اغلاق الاختبار قبل اكمال المحاولة وشكرا,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
108,6,احتاج مساعدة، كيف انشئ واجبا جديدا للطلاب؟ وشكرا,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
181,10,ممكن توضيح، درجات الاختبار غير ظاهرة للطلاب ممكن تساعدوني؟,ar,instructor,grades,negative,راجع إعدادات خيارات المراجعة وإعدادات إظهار عنصر الدرجة.,eLearning Support,1.0.0
136,7,ممكن توضيح، تم اغلاق الاختبار قبل اكمال المحاولة في نظام مودل,ar,student,quiz_exam,negative,تحقق من وقت الاختبار ثم تواصل مباشرة مع مدرس المقرر.,Course Instructor,1.0.0
245,13,"Please help, My attendance status is incorrect What should I do?",en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,1.0.0
368,19,"Please help, The Moodle page keeps loading without opening What should I do?",en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
4,1,السلام عليكم، لا استطيع تسجيل الدخول الي مودل,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
387,20,Students receive an error when opening the activity,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
44,3,عندي استفسار، لا يظهر لي مقرر معالجة اللغة الطبيعية في نظام مودل,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,1.0.0
382,20,Could you explain? Students receive an error when opening the activity What should I do?,en,instructor,technical_problem,negative,Review the activity restrictions and contact e-learning support.,eLearning Support,1.0.0
279,14,"Please help, How do I record student attendance?",en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
34,2,ممكن توضيح، كيف اعيد تعيين كلمة مرور حسابي؟ ما الحل؟,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
259,13,I need help. My attendance status is incorrect Thank you.,en,student,attendance,negative,Contact the course instructor and provide the attendance date.,Course Instructor,1.0.0
39,2,لو سمحت، كيف اعيد تعيين كلمة مرور حسابي؟ وشكرا,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
164,9,اين استطيع مشاهدة درجاتي؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
155,8,كيف اضيف اسئلة عشوائية من بنك الاسئلة؟ وشكرا,ar,instructor,quiz_exam,neutral,افتح تحرير الاختبار ثم اختر إضافة سؤال عشوائي.,eLearning Support,1.0.0
336,17,"Please help, The virtual classroom link does not open in Moodle.",en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
294,15,I have a question. I am not receiving course notifications in Moodle.,en,student,notifications,negative,Check your Moodle notification preferences and registered email.,IT Support,1.0.0
38,2,ممكن توضيح، كيف اعيد تعيين كلمة مرور حسابي؟ وشكرا,ar,student,login_access,neutral,اضغط على نسيت كلمة المرور واتبع التعليمات المرسلة إلى بريدك.,IT Support,1.0.0
177,9,لو سمحت، اين استطيع مشاهدة درجاتي؟ ممكن تساعدوني؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
167,9,ممكن توضيح، اين استطيع مشاهدة درجاتي؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
46,3,لو سمحت، لا يظهر لي مقرر معالجة اللغة الطبيعية وشكرا,ar,student,course_enrollment,negative,تحقق من تسجيلك في المقرر، ثم تواصل مع القبول والتسجيل.,Registration Department,1.0.0
216,11,"Hello, I cannot download the lecture file Thank you.",en,student,course_content,negative,Refresh the course page and verify that the resource is available.,eLearning Support,1.0.0
369,19,"Hello, The Moodle page keeps loading without opening What should I do?",en,student,technical_problem,negative,Clear the browser cache and try another supported browser.,IT Support,1.0.0
9,1,لو سمحت، لا استطيع تسجيل الدخول الي مودل في نظام مودل,ar,student,login_access,negative,استخدم خيار نسيت كلمة المرور أو تواصل مع الدعم التقني.,IT Support,1.0.0
96,5,لو سمحت، لا يظهر لي زر تسليم الواجب وشكرا,ar,student,assignment,negative,تحقق من موعد فتح الواجب وموعد الإغلاق، ثم تواصل مع مدرس المقرر.,Course Instructor,1.0.0
321,17,Could you explain? The virtual classroom link does not open,en,student,virtual_class,negative,"Check the session time and allow pop-ups, then try the link again.",eLearning Support,1.0.0
228,12,"Please help, How can I upload lecture slides? Could you help me?",en,instructor,course_content,neutral,Turn editing on and add a File resource to the course section.,eLearning Support,1.0.0
278,14,"Please help, How do I record student attendance? Could you help me?",en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
178,9,ممكن توضيح، اين استطيع مشاهدة درجاتي؟ ما الحل؟,ar,student,grades,neutral,افتح المقرر ثم اختر الدرجات من قائمة المقرر.,Course Instructor,1.0.0
104,6,لو سمحت، كيف انشئ واجبا جديدا للطلاب؟ وشكرا,ar,instructor,assignment,neutral,فعّل وضع التحرير ثم اختر إضافة نشاط من نوع واجب.,eLearning Support,1.0.0
270,14,"Hello, How do I record student attendance? Thank you.",en,instructor,attendance,neutral,"Open the Attendance activity, create a session, and record attendance.",eLearning Support,1.0.0
352,18,"Hello, How do I add a virtual class to my course? What should I do?",en,instructor,virtual_class,neutral,Turn editing on and add the available virtual classroom activity.,eLearning Support,1.0.0
304,16,Could you explain? How can I send an announcement to all students? Could you help me?,en,instructor,notifications,neutral,Post the message in the course Announcements forum.,eLearning Support,1.0.0
